Source,Experiment,Dog,Trial,Type,Button,Time,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type
CSC_Dex_Trial5,CSC,Dex,5,Press,Outside,29.385,60,60,,Toy-Directed Behaviors,,Touching Toy,POINT
CSC_Dex_Trial5,CSC,Dex,5,Press,Outside,31.283,60,60,,Toy-Directed Behaviors,,Picking up Toy,POINT
CSC_Dex_Trial5,CSC,Dex,5,Press,Outside,37.95,60,60,,Toy-Directed Behaviors,,Looking at Toy,POINT
CSC_Dex_Trial5,CSC,Dex,5,Press,Outside,39.139,60,60,,Toy-Directed Behaviors,,Touching Toy,POINT
CSC_Dex_Trial5,CSC,Dex,5,Press,Outside,41.083,60,60,,Toy-Directed Behaviors,,Looking at Toy,POINT
CSC_Dex_Trial5,CSC,Dex,5,Press,Outside,43.384,60,60,,Toy-Directed Behaviors,,Looking at Toy,POINT
CSC_Dex_Trial5,CSC,Dex,5,Press,Outside,44.136,60,60,,Toy-Directed Behaviors,,Touching Toy,POINT
CSC_Dex_Trial5,CSC,Dex,5,Press,Outside,45.583,60,60,,Toy-Directed Behaviors,,Picking up Toy,POINT
CSC_Dex_Trial5,CSC,Dex,5,Press,Outside,47.117,60,60,,Toy-Directed Behaviors,,Looking at Toy,POINT
CSC_Dex_Trial5,CSC,Dex,5,Press,Outside,47.388,60,60,,Toy-Directed Behaviors,,Touching Toy,POINT
CSC_Dex_Trial5,CSC,Dex,5,Press,Outside,50.483,60,60,,Toy-Directed Behaviors,,Looking at Toy,POINT
CSC_Dex_Trial5,CSC,Dex,5,Press,Outside,50.887,60,60,,Toy-Directed Behaviors,,Picking up Toy,POINT
CSC_Dex_Trial5,CSC,Dex,5,Press,Outside,52.233,60,60,,Toy-Directed Behaviors,,Looking at Toy,POINT
CSC_Dex_Trial5,CSC,Dex,5,Press,Outside,52.89,60,60,,Toy-Directed Behaviors,,Touching Toy,POINT
CSC_Dex_Trial5,CSC,Dex,5,Press,Outside,55.075,60,60,,Toy-Directed Behaviors,,Looking at Toy,POINT
CSC_Dex_Trial5,CSC,Dex,5,Press,Outside,55.638,60,60,,Toy-Directed Behaviors,,Touching Toy,POINT
CSC_Dex_Trial5,CSC,Dex,5,Press,Outside,58.388,60,60,,Toy-Directed Behaviors,,Picking up Toy,POINT
CSC_Dex_Trial6,CSC,Dex,6,Press,Food,0,60.003,60,,Lip/Nose Licking,,,POINT
CSC_Dex_Trial6,CSC,Dex,6,Press,Food,3.155,60.003,60,,Toy-Directed Behaviors,,Looking at Toy,POINT
CSC_Dex_Trial6,CSC,Dex,6,Press,Food,4.153,60.003,60,,Toy-Directed Behaviors,,Picking up Toy,POINT
CSC_Dex_Trial6,CSC,Dex,6,Press,Food,6.3,60.003,60,,Toy-Directed Behaviors,,Touching Toy,POINT
CSC_Dex_Trial6,CSC,Dex,6,Press,Food,9.134,60.003,60,,Toy-Directed Behaviors,,Looking at Toy,POINT
CSC_Dex_Trial6,CSC,Dex,6,Press,Food,9.137,60.003,60,,Toy-Directed Behaviors,,Touching Toy,POINT
CSC_Dex_Trial6,CSC,Dex,6,Press,Food,14.64,60.003,60,,Lip/Nose Licking,,,POINT
CSC_Dex_Trial6,CSC,Dex,6,Press,Food,17.387,60.003,60,,Lip/Nose Licking,,,POINT
CSC_Dex_Trial6,CSC,Dex,6,Press,Food,18.905,60.003,60,,Lip/Nose Licking,,,POINT
CSC_Dex_Trial6,CSC,Dex,6,Press,Food,19.889,60.003,60,,Toy-Directed Behaviors,,Looking at Toy,POINT
CSC_Dex_Trial6,CSC,Dex,6,Press,Food,20.42,60.003,60,,Toy-Directed Behaviors,,Looking at Toy,POINT
CSC_Dex_Trial6,CSC,Dex,6,Press,Food,20.639,60.003,60,,Toy-Directed Behaviors,,Touching Toy,POINT
CSC_Dex_Trial6,CSC,Dex,6,Press,Food,27.638,60.003,60,,Lip/Nose Licking,,,POINT
CSC_Dex_Trial6,CSC,Dex,6,Press,Food,29.389,60.003,60,,Lip/Nose Licking,,,POINT
CSC_Dex_Trial6,CSC,Dex,6,Press,Food,32.637,60.003,60,,Lip/Nose Licking,,,POINT
CSC_Dex_Trial6,CSC,Dex,6,Press,Food,34.139,60.003,60,,Lip/Nose Licking,,,POINT
CSC_Dex_Trial6,CSC,Dex,6,Press,Food,36.45,60.003,60,,Toy-Directed Behaviors,,Looking at Toy,POINT
CSC_Dex_Trial6,CSC,Dex,6,Press,Food,38.638,60.003,60,,Toy-Directed Behaviors,,Touching Toy,POINT
CSC_Dex_Trial6,CSC,Dex,6,Press,Food,39.133,60.003,60,,Toy-Directed Behaviors,,Looking at Toy,POINT
CSC_Dex_Trial6,CSC,Dex,6,Press,Food,53.393,60.003,60,,Toy-Directed Behaviors,,Looking at Toy,POINT
CSC_Dex_Trial6,CSC,Dex,6,Press,Food,53.889,60.003,60,,Toy-Directed Behaviors,,Moving Towards Toy,POINT
CSC_Dex_Trial6,CSC,Dex,6,Press,Food,54.137,60.003,60,,Toy-Directed Behaviors,,Touching Toy,POINT
CSC_Dex_Trial6,CSC,Dex,6,Press,Food,57.137,60.003,60,,Toy-Directed Behaviors,,Looking at Toy,POINT
CSC_Dex_Trial6,CSC,Dex,6,Press,Food,57.139,60.003,60,,Toy-Directed Behaviors,,Touching Toy,POINT
CSC_Dex_Trial6,CSC,Dex,6,Press,Food,57.25,60.003,60,,Toy-Directed Behaviors,,Looking at Toy,POINT
